TokenId,LastSalePrice,Background,BackgroundRarity,Earring,EarringRarity,Fur,FurRarity,Eyes,EyesRarity,Mouth,MouthRarity,Clothes,ClothesRarity,Hat,HatRarity,LastSaleToken,NumberOfSales,SaleDate,USDPrice,LogUSDPrice,Outlier
5304,0.104,Army Green,0.1243,Silver Stud,0.0823,Brown,0.137,X Eyes,0.0243,Phoneme L,0.0241,Service,0.0142,,,Ether,1.0,2021-05-01 08:48:05.684077,428.13056,6.059428195793475,1
48,0.2,Blue,0.1242,,,Red,0.0474,Scumbag,0.0233,Bored Unshaven,0.1551,Prison Jumpsuit,0.0235,,,Ether,1.0,2021-05-01 08:48:25.060113,808.72,6.695452750845802,1
2067,0.14,Army Green,0.1243,,,Pink,0.0511,Closed,0.071,Dumbfounded,0.0505,Puffy Vest,0.0227,Party Hat 1,0.012,Ether,1.0,2021-05-01 08:48:25.311067,573.293,6.351396929827584,1
9854,0.1,Army Green,0.1243,,,Pink,0.0511,Laser Eyes,0.0069,Bored Bubblegum,0.0119,Bone Tee,0.023,Bayc Hat Black,0.0228,Ether,1.0,2021-05-01 08:48:50.972259,411.011,6.018619978128353,1
3148,0.12,Blue,0.1242,Silver Stud,0.0823,Tan,0.0626,Robot,0.035,Bored,0.2272,,,Vietnam Era Helmet,0.0223,Ether,1.0,2021-05-01 08:50:05.691298,491.394,6.197246250000326,1
6759,0.1,Orange,0.1273,,,Pink,0.0511,Heart,0.0394,Tongue Out,0.0202,Puffy Vest,0.0227,,,Ether,1.0,2021-05-01 08:53:22.712249,411.664,6.020207482640194,1
8007,0.123,Purple,0.1291,,,Red,0.0474,Sleepy,0.0751,Rage,0.0266,Navy Striped Tee,0.0334,Bowler,0.0262,Ether,1.0,2021-05-01 08:55:02.931931,506.34672,6.22722165202452,1
236,0.6,Orange,0.1273,,,Pink,0.0511,Blue Beams,0.0049,Bored,0.2272,,,,,Ether,1.0,2021-05-01 08:55:33.382753,2426.16,7.794065039513912,-1
1682,0.16,Gray,0.117,,,Cheetah,0.0406,Sad,0.0551,Bored,0.2272,,,Beanie,0.0578,Ether,1.0,2021-05-01 08:56:14.120581,655.192,6.484928322452107,1
7342,0.12,Purple,0.1291,,,Tan,0.0626,Zombie,0.0308,Phoneme Vuh,0.0333,,,,,Ether,1.0,2021-05-01 08:57:44.093707,493.9968,6.202529039434149,1
8976,0.5,Yellow,0.1283,Silver Stud,0.0823,White,0.0397,X Eyes,0.0243,Bored Unshaven Pizza,0.0026,Tweed Suit,0.0141,Safari,0.0182,Ether,1.0,2021-05-01 08:58:25.153695,2055.055,7.628057890562453,1
